<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.03.05	2114.64	2141.83	2110.49	2128.10	195305	0	7
2024.03.06	2128.10	2152.21	2123.73	2147.40	182163	0	7
2024.03.07	2147.38	2164.76	2144.18	2161.98	180179	0	7
2024.03.08	2161.98	2195.19	2154.02	2177.18	203836	0	7
2024.03.10	2179.91	2183.87	2177.23	2181.65	4506	0	7
2024.03.11	2181.65	2189.00	2174.86	2183.68	145322	0	7
2024.03.12	2183.68	2184.53	2150.30	2157.02	182840	0	7
2024.03.13	2157.02	2179.86	2156.65	2175.47	144987	0	7
2024.03.14	2175.47	2176.98	2152.78	2161.62	135174	0	7
2024.03.15	2161.62	2172.75	2155.18	2156.84	132181	0	7
2024.03.17	2153.55	2156.91	2153.16	2156.55	3972	0	7
2024.03.18	2156.58	2163.62	2146.11	2162.14	113215	0	7
2024.03.19	2162.18	2162.88	2147.14	2157.07	124000	0	7
2024.03.20	2157.10	2222.93	2149.62	2203.97	171622	0	7
2024.03.21	2204.00	2212.50	2166.36	2181.80	201581	0	7
2024.03.22	2181.78	2186.08	2157.16	2165.48	167252	0	7
2024.03.24	2166.31	2168.92	2165.22	2168.38	4041	0	7
2024.03.25	2168.44	2181.33	2163.66	2172.95	146471	0	7
2024.03.26	2172.95	2200.12	2167.63	2179.49	159174	0	7
2024.03.27	2179.49	2197.61	2173.45	2190.75	142630	0	7
2024.03.28	2190.77	2236.20	2187.40	2233.78	180509	0	7
2024.03.31	2239.41	2247.34	2235.66	2246.02	11096	0	11
2024.04.01	2246.02	2265.71	2228.51	2249.04	173679	0	7
2024.04.02	2249.03	2288.39	2246.72	2279.98	216010	0	7
2024.04.03	2279.91	2302.81	2265.53	2297.56	216634	0	7
2024.04.04	2297.60	2305.58	2279.74	2288.78	191217	0	7
2024.04.05	2288.92	2330.47	2267.81	2327.67	229717	0	7
2024.04.07	2327.85	2328.50	2303.98	2311.27	13207	0	7
2024.04.08	2311.33	2354.06	2302.92	2338.82	260130	0	7
2024.04.09	2338.82	2365.35	2337.84	2354.95	241140	0	7
2024.04.10	2354.85	2360.12	2319.44	2335.57	268301	0	7
2024.04.11	2335.63	2379.61	2325.77	2376.87	268779	0	7
2024.04.12	2377.08	2431.47	2333.83	2342.86	353909	0	7
2024.04.14	2359.98	2372.54	2346.85	2364.72	18116	0	7
2024.04.15	2364.74	2392.23	2324.46	2381.92	318827	0	7
2024.04.16	2381.94	2398.29	2363.02	2382.82	314015	0	7
2024.04.17	2382.83	2395.59	2355.73	2368.04	274338	0	0
2024.04.18	2368.01	2392.80	2364.10	2379.81	238142	0	3
2024.04.19	2379.80	2417.93	2372.94	2389.95	304838	0	7
2024.04.21	2384.23	2388.59	2381.97	2386.06	7880	0	7
2024.04.22	2386.05	2386.15	2324.60	2333.63	231396	0	7
2024.04.23	2333.65	2334.45	2291.53	2323.31	253388	0	7
2024.04.24	2323.32	2337.29	2311.82	2316.27	197599	0	7
2024.04.25	2316.28	2344.83	2305.17	2330.89	205305	0	7
2024.04.26	2330.85	2352.58	2326.33	2337.08	195524	0	7
2024.04.28	2333.88	2336.86	2332.60	2335.77	5029	0	7
2024.04.29	2335.81	2346.74	2319.98	2332.62	230287	0	7
2024.04.30	2332.63	2336.19	2285.08	2291.37	227472	0	7
2024.05.01	2291.33	2328.32	2281.66	2323.77	231443	0	7
2024.05.02	2323.77	2326.44	2285.52	2304.26	202318	0	7
