<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.09.17	04:30:00	19522.5860	19522.8080	19504.5200	19504.5200	890	0	1950
2024.09.17	04:45:00	19504.4990	19519.1980	19489.5000	19516.3710	887	0	1940
2024.09.17	05:00:00	19516.3650	19516.3650	19498.8150	19498.8150	880	0	1950
2024.09.17	05:15:00	19498.7950	19498.7950	19481.4970	19481.4970	887	0	1940
2024.09.17	05:30:00	19481.4790	19481.4790	19463.8270	19463.8270	890	0	1940
2024.09.17	05:45:00	19463.7880	19463.7880	19445.8890	19445.8890	891	0	1940
2024.09.17	06:00:00	19445.8790	19445.8790	19428.0690	19428.0690	886	0	1940
2024.09.17	06:15:00	19428.0500	19428.0500	19410.1100	19410.1100	891	0	1940
2024.09.17	06:30:00	19410.1090	19453.6610	19405.3330	19451.0150	886	0	1940
2024.09.17	06:45:00	19450.9940	19496.2570	19443.8890	19486.6330	884	0	1940
2024.09.17	07:00:00	19486.6170	19515.0450	19480.2520	19503.9890	891	0	1940
2024.09.17	07:15:00	19503.9730	19503.9730	19486.2860	19486.2860	888	0	1940
2024.09.17	07:30:00	19486.2730	19509.5190	19486.0860	19492.1540	885	0	1940
2024.09.17	07:45:00	19492.1240	19492.1240	19474.1400	19474.1400	893	0	1940
2024.09.17	08:00:00	19474.1300	19514.1260	19467.9250	19502.4080	891	0	1940
2024.09.17	08:15:00	19502.4060	19502.4060	19484.4550	19484.4550	881	0	1940
2024.09.17	08:30:00	19484.4440	19484.4440	19466.6690	19466.6690	888	0	1940
2024.09.17	08:45:00	19466.6530	19493.9860	19465.6410	19477.5420	880	0	1940
2024.09.17	09:00:00	19477.5370	19477.5370	19459.6780	19459.6780	887	0	1940
2024.09.17	09:15:00	19459.6640	19459.6640	19441.5250	19441.5250	891	0	1940
2024.09.17	09:30:00	19441.4790	19451.5780	19435.3510	19439.9630	884	0	1940
2024.09.17	09:45:00	19439.9560	19469.9250	19433.1930	19459.4840	889	0	1940
2024.09.17	10:00:00	19459.4760	19459.4760	19441.9110	19441.9110	892	0	1940
2024.09.17	10:15:00	19441.9010	19441.9010	19424.5780	19424.5780	882	0	1940
2024.09.17	10:30:00	19424.5700	19424.5700	19407.2310	19407.2310	889	0	1940
2024.09.17	10:45:00	19407.2170	19407.2170	19390.1660	19390.1660	888	0	1930
2024.09.17	11:00:00	19390.1150	19406.0020	19383.9520	19404.7150	888	0	1930
2024.09.17	11:15:00	19404.6970	19417.5160	19400.7400	19404.0000	885	0	1940
2024.09.17	11:30:00	19403.9640	19403.9640	19386.4210	19386.4210	885	0	1930
2024.09.17	11:45:00	19386.4190	19386.4190	19368.5420	19368.5420	887	0	1930
2024.09.17	12:00:00	19368.5300	19368.5300	19351.1880	19351.1880	889	0	1930
2024.09.17	12:15:00	19351.1570	19405.9890	19345.1500	19398.1130	890	0	1930
2024.09.17	12:30:00	19398.0980	19398.0980	19380.7590	19380.7590	888	0	1930
2024.09.17	12:45:00	19380.7380	19380.7380	19367.9930	19367.9930	889	0	1930
2024.09.17	13:00:00	19367.9630	19367.9630	19350.4260	19350.4260	895	0	1930
2024.09.17	13:15:00	19350.4180	19350.4180	19333.2380	19333.2380	884	0	1930
2024.09.17	13:30:00	19333.2350	19333.2350	19319.3630	19319.3630	882	0	1930
2024.09.17	13:45:00	19319.3320	19327.5340	19312.0690	19312.0690	888	0	1930
2024.09.17	14:00:00	19312.0520	19315.2530	19295.0580	19315.0320	888	0	1920
2024.09.17	14:15:00	19315.0160	19322.7340	19304.4450	19319.3870	877	0	1930
2024.09.17	14:30:00	19319.3770	19331.2780	19312.3860	19320.1190	889	0	1930
2024.09.17	14:45:00	19320.0560	19320.0560	19302.7500	19302.7500	889	0	1930
2024.09.17	15:00:00	19302.7450	19302.7450	19285.5430	19285.5430	888	0	1920
2024.09.17	15:15:00	19285.5200	19320.1640	19275.5580	19317.2190	881	0	1920
2024.09.17	15:30:00	19317.2060	19398.1030	19315.5430	19389.2470	886	0	1930
2024.09.17	15:45:00	19389.2090	19389.2090	19371.6620	19371.6620	887	0	1930
2024.09.17	16:00:00	19371.6550	19379.5730	19359.5700	19374.7610	886	0	1930
2024.09.17	16:15:00	19374.7300	19411.3210	19372.6510	19398.9030	891	0	1930
2024.09.17	16:30:00	19398.8690	19416.6860	19391.1530	19412.0590	888	0	1930
2024.09.17	16:45:00	19412.0340	19472.7950	19407.1380	19472.7820	884	0	1940
2024.09.17	17:00:00	19472.7720	19507.0640	19471.3680	19498.7880	888	0	1940
2024.09.17	17:15:00	19498.7790	19498.7790	19480.9370	19480.9370	886	0	1940
2024.09.17	17:30:00	19480.9150	19530.5040	19468.7250	19530.1340	884	0	1940
2024.09.17	17:45:00	19530.0880	19546.2510	19528.4860	19528.4860	888	0	1950
2024.09.17	18:00:00	19528.4810	19528.4810	19510.4420	19510.4420	892	0	1950
2024.09.17	18:15:00	19510.4330	19510.4330	19492.9820	19492.9820	887	0	1940
2024.09.17	18:30:00	19492.9550	19527.5970	19479.0220	19524.5670	883	0	1940
2024.09.17	18:45:00	19524.5440	19524.5440	19506.9040	19506.9040	885	0	1950
2024.09.17	19:00:00	19506.8620	19506.8620	19489.5150	19489.5150	883	0	1940
2024.09.17	19:15:00	19489.4890	19537.8810	19487.9480	19525.5430	890	0	1940
2024.09.17	19:30:00	19525.5420	19555.0380	19521.9190	19541.0550	885	0	1950
2024.09.17	19:45:00	19541.0480	19574.0660	19538.3690	19559.7260	888	0	1950
2024.09.17	20:00:00	19559.7180	19559.7180	19545.1180	19545.1180	886	0	1950
2024.09.17	20:15:00	19545.0920	19545.0920	19528.1080	19528.1080	890	0	1950
2024.09.17	20:30:00	19528.0880	19528.0880	19511.3160	19511.3160	883	0	1950
2024.09.17	20:45:00	19511.2820	19511.2820	19494.1330	19494.1330	884	0	1940
2024.09.17	21:00:00	19494.1230	19527.9240	19483.2440	19521.1690	880	0	1940
2024.09.17	21:15:00	19521.1470	19535.0130	19507.9630	19531.2710	885	0	1950
