<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.05.15	00:00:00	15866.9920	15943.2290	15851.2530	15924.4450	14145	0	1580
2024.05.15	04:00:00	15924.4390	15969.2860	15862.2060	15864.6890	14155	0	1580
2024.05.15	08:00:00	15864.6860	15965.7320	15815.4450	15932.0160	14118	0	1580
2024.05.15	12:00:00	15931.9980	15937.7550	15805.5890	15805.5890	14167	0	1580
2024.05.15	16:00:00	15805.5740	15857.1810	15780.4510	15799.1850	14143	0	1570
2024.05.15	20:00:00	15799.1600	15817.9780	15754.7880	15803.4900	14146	0	1570
2024.05.16	00:00:00	15803.4810	15855.3340	15778.5990	15805.0400	14152	0	1570
2024.05.16	04:00:00	15805.0380	16016.5730	15776.5090	16008.9710	14155	0	1570
2024.05.16	08:00:00	16008.9310	16094.1660	15998.9220	16065.4060	14140	0	1600
2024.05.16	12:00:00	16065.3810	16106.3310	15993.9760	16101.8210	14162	0	1590
2024.05.16	16:00:00	16101.7900	16111.0030	15982.6420	15990.0750	14141	0	1590
2024.05.16	20:00:00	15990.0590	16185.2320	15963.2960	16127.2630	14172	0	1590
2024.05.17	00:00:00	16127.2580	16221.5710	16117.7030	16212.5300	14159	0	1610
2024.05.17	04:00:00	16212.5220	16218.6870	16132.6230	16142.3490	14163	0	1610
2024.05.17	08:00:00	16142.3270	16142.3270	15989.9250	16038.2960	14158	0	1590
2024.05.17	12:00:00	16038.2840	16038.2840	15951.5670	15953.8340	14122	0	1590
2024.05.17	16:00:00	15953.8240	16037.2530	15928.1060	15928.1060	14119	0	1590
2024.05.17	20:00:00	15928.1020	16053.7080	15917.0430	15997.8410	14162	0	1590
2024.05.18	00:00:00	15997.8310	16060.7290	15977.0340	16018.4620	14150	0	1590
2024.05.18	04:00:00	16018.4480	16175.8710	16006.6940	16103.6620	14124	0	1600
2024.05.18	08:00:00	16103.6370	16210.0520	16100.9820	16189.7520	14157	0	1610
2024.05.18	12:00:00	16189.7180	16250.0730	16123.2080	16123.2080	14140	0	1610
2024.05.18	16:00:00	16123.2050	16123.2050	16046.1190	16046.1190	14156	0	1600
2024.05.18	20:00:00	16046.1070	16061.2290	16002.3560	16007.0610	14175	0	1600
2024.05.19	00:00:00	16007.0590	16099.5580	15977.3160	16059.6710	13936	0	1590
2024.05.19	04:00:00	16059.6700	16088.0390	16028.9770	16042.1420	14141	0	1600
2024.05.19	08:00:00	16042.1310	16180.1150	16016.9990	16166.5030	14149	0	1600
2024.05.19	12:00:00	16166.4940	16232.8950	16129.3890	16170.3150	14151	0	1610
2024.05.19	16:00:00	16170.3070	16170.3070	16105.4830	16131.1220	14147	0	1610
2024.05.19	20:00:00	16131.0970	16146.8030	16028.5820	16060.0190	14147	0	1600
2024.05.20	00:00:00	16059.9900	16116.5120	15995.8420	16065.6350	14164	0	1590
2024.05.20	04:00:00	16065.6160	16091.4740	16022.6330	16059.8530	14157	0	1600
2024.05.20	08:00:00	16059.8330	16245.8860	16052.3990	16225.4140	14149	0	1600
2024.05.20	12:00:00	16225.3810	16300.9340	16173.0550	16274.8080	14165	0	1610
2024.05.20	16:00:00	16274.7980	16274.7980	16177.7100	16177.7100	14119	0	1610
2024.05.20	20:00:00	16177.6860	16343.2470	16160.6980	16333.4700	14155	0	1610
2024.05.21	00:00:00	16333.4670	16349.7630	16176.6150	16206.2640	14155	0	1610
2024.05.21	04:00:00	16206.2370	16234.0290	16114.8080	16114.8080	14127	0	1610
2024.05.21	08:00:00	16114.8040	16151.1800	16075.6660	16086.9750	14169	0	1600
2024.05.21	12:00:00	16086.9700	16129.1640	16027.3550	16027.3550	14148	0	1600
2024.05.21	16:00:00	16027.3250	16054.7180	15981.3590	16019.4550	14164	0	1590
2024.05.21	20:00:00	16019.4410	16019.4410	15855.2220	15859.4190	14139	0	1580
2024.05.22	00:00:00	15859.4190	15870.1930	15810.9390	15828.3830	14153	0	1580
2024.05.22	04:00:00	15828.3780	15915.7920	15760.3090	15896.2910	14130	0	1570
2024.05.22	08:00:00	15896.2680	15975.4730	15832.4100	15969.4630	14113	0	1580
2024.05.22	12:00:00	15969.4590	16080.3240	15942.3100	16048.1470	14141	0	1590
2024.05.22	16:00:00	16048.1400	16085.0320	15988.5330	16020.5900	14166	0	1590
2024.05.22	20:00:00	16020.5660	16030.6400	15911.7590	15917.2380	14155	0	1590
2024.05.23	00:00:00	15917.2330	16015.8130	15911.2030	15954.3520	14131	0	1590
2024.05.23	04:00:00	15954.3500	15957.7850	15866.8500	15866.8500	14150	0	1580
2024.05.23	08:00:00	15866.8310	16113.1480	15866.5690	16102.9940	14133	0	1580
2024.05.23	12:00:00	16102.9870	16197.1510	16082.6780	16193.2030	14162	0	1600
2024.05.23	16:00:00	16193.1930	16193.1930	16106.1390	16137.5240	14175	0	1610
2024.05.23	20:00:00	16137.5160	16240.7550	16127.3960	16234.5220	14139	0	1610
2024.05.24	00:00:00	16234.5130	16266.0210	16215.7440	16235.4240	14150	0	1620
2024.05.24	04:00:00	16235.4130	16271.2270	16160.5160	16167.9280	14174	0	1610
2024.05.24	08:00:00	16167.9000	16190.1000	16084.3510	16084.3510	14173	0	1600
2024.05.24	12:00:00	16084.3260	16112.4650	16027.4260	16030.4250	14161	0	1600
2024.05.24	16:00:00	16030.4150	16112.3030	16003.8400	16110.5870	14120	0	1600
2024.05.24	20:00:00	16110.5820	16131.6750	16048.5450	16123.8830	14144	0	1600
2024.05.25	00:00:00	16123.8470	16123.8470	16000.5110	16003.4450	14134	0	1600
2024.05.25	04:00:00	16003.4180	16041.1540	15974.7330	16021.4710	14146	0	1590
2024.05.25	08:00:00	16021.4480	16105.3450	16005.2850	16044.0090	14141	0	1600
2024.05.25	12:00:00	16044.0090	16086.7160	15985.6040	16021.2040	14132	0	1590
2024.05.25	16:00:00	16021.1720	16030.2300	15908.7590	15911.6830	14131	0	1590
2024.05.25	20:00:00	15911.6790	15970.3690	15882.7870	15934.5050	14140	0	1580
2024.05.26	00:00:00	15934.4810	16089.7990	15896.2460	16085.3900	14147	0	1580
2024.05.26	04:00:00	16085.3680	16114.0220	16005.0500	16005.0500	14147	0	1600
2024.05.26	08:00:00	16005.0500	16022.9760	15978.2350	16010.1970	14130	0	1590
2024.05.26	12:00:00	16010.1700	16049.6540	15962.2030	16022.2610	14144	0	1590
2024.05.26	16:00:00	16022.2480	16064.1850	15965.7280	15965.7280	14174	0	1590
2024.05.26	20:00:00	15965.7270	16005.6830	15905.4190	15924.1300	14141	0	1590
2024.05.27	00:00:00	15924.1280	16047.9090	15912.3260	16036.7420	13066	0	1590
2024.05.27	04:00:00	16036.7300	16150.4150	16027.9580	16076.9350	14161	0	1600
2024.05.27	08:00:00	16076.9080	16219.5350	16054.9890	16219.0920	14169	0	1600
2024.05.27	12:00:00	16219.0520	16315.3750	16213.7930	16307.7060	14146	0	1620
2024.05.27	16:00:00	16307.6980	16378.7040	16271.7350	16372.7150	14171	0	1620
2024.05.27	20:00:00	16372.6940	16447.0900	16309.0160	16447.0310	14161	0	1630
2024.05.28	00:00:00	16447.0270	16480.9300	16369.8120	16404.4690	14157	0	1630
2024.05.28	04:00:00	16404.4600	16532.5540	16363.1420	16489.1490	14138	0	1630
2024.05.28	08:00:00	16489.1360	16540.0090	16481.1730	16501.1900	14131	0	1640
2024.05.28	12:00:00	16501.1640	16646.8920	16469.8550	16596.2370	14182	0	1640
2024.05.28	16:00:00	16596.2310	16691.1940	16568.5360	16613.5460	14155	0	1650
2024.05.28	20:00:00	16613.5450	16701.2240	16548.1550	16692.6060	14149	0	1650
2024.05.29	00:00:00	16692.5990	16746.0350	16629.4590	16629.4590	14161	0	1660
2024.05.29	04:00:00	16629.4490	16737.7730	16620.5340	16713.4280	14159	0	1660
2024.05.29	08:00:00	16713.4090	16740.8860	16637.5980	16713.9790	14145	0	1660
2024.05.29	12:00:00	16713.9700	16768.5660	16635.5300	16638.9960	14158	0	1660
2024.05.29	16:00:00	16638.9910	16647.9450	16538.8950	16641.0330	14153	0	1650
2024.05.29	20:00:00	16641.0310	16641.0310	16544.2310	16569.4560	14162	0	1650
2024.05.30	00:00:00	16569.4450	16621.7430	16532.3730	16532.3730	14164	0	1650
2024.05.30	04:00:00	16532.3670	16598.5050	16507.8090	16585.7560	14154	0	1650
2024.05.30	08:00:00	16585.7450	16630.5240	16568.9340	16598.0380	14179	0	1650
2024.05.30	12:00:00	16598.0280	16598.0280	16474.4110	16474.4110	14132	0	1640
2024.05.30	16:00:00	16474.3980	16531.9360	16425.0140	16432.8140	14179	0	1640
2024.05.30	20:00:00	16432.7880	16487.7750	16377.4740	16377.4740	14142	0	1630
2024.05.31	00:00:00	16377.4430	16398.5780	16309.2770	16318.0690	14150	0	1630
2024.05.31	04:00:00	16318.0590	16353.4740	16242.9230	16288.1330	14123	0	1620
2024.05.31	08:00:00	16288.1210	16328.4860	16264.2770	16294.5670	14145	0	1620
2024.05.31	12:00:00	16294.5460	16424.1570	16285.5770	16395.9510	14154	0	1620
2024.05.31	16:00:00	16395.9480	16452.7970	16372.4010	16421.8890	14134	0	1630
2024.05.31	20:00:00	16421.8750	16421.8750	16277.6840	16277.6840	14167	0	1620
