<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.03.18	00:00:00	5819.8920	5839.7950	5808.7270	5836.4710	13677	0	580
2024.03.18	04:00:00	5836.4720	5846.7340	5825.7290	5829.1330	13729	0	580
2024.03.18	08:00:00	5829.1350	5861.4870	5823.7010	5825.2730	13753	0	580
2024.03.18	12:00:00	5825.2750	5838.3300	5772.6910	5774.7790	13764	0	570
2024.03.18	16:00:00	5774.7880	5784.2680	5758.6950	5769.3290	13750	0	570
2024.03.18	20:00:00	5769.3400	5774.2580	5703.7220	5705.2540	13668	0	570
2024.03.19	00:00:00	5705.2660	5721.8200	5644.2190	5653.1900	13691	0	560
2024.03.19	04:00:00	5653.1950	5659.6660	5616.5020	5636.1150	13684	0	560
2024.03.19	08:00:00	5636.1240	5661.1730	5636.1240	5652.4950	13722	0	560
2024.03.19	12:00:00	5652.5040	5680.2140	5644.1170	5678.5150	13670	0	560
2024.03.19	16:00:00	5678.5200	5680.0960	5658.9230	5669.6060	13695	0	560
2024.03.19	20:00:00	5669.6110	5700.3530	5669.6110	5700.3530	13714	0	560
2024.03.20	00:00:00	5700.3640	5711.0010	5677.9010	5690.5110	13697	0	560
2024.03.20	04:00:00	5690.5180	5694.9220	5656.4960	5686.6550	13711	0	560
2024.03.20	08:00:00	5686.6570	5723.6540	5679.4430	5720.1210	13661	0	560
2024.03.20	12:00:00	5720.1310	5726.8220	5709.2070	5717.9720	13687	0	570
2024.03.20	16:00:00	5717.9760	5718.8080	5658.5720	5690.1250	13698	0	560
2024.03.20	20:00:00	5690.1360	5699.8640	5664.0780	5674.0250	13703	0	560
2024.03.21	00:00:00	5674.0300	5693.1190	5660.5300	5677.4020	13682	0	560
2024.03.21	04:00:00	5677.4060	5706.1910	5674.0640	5683.1330	13682	0	560
2024.03.21	08:00:00	5683.1390	5703.8030	5680.5950	5692.4550	13694	0	560
2024.03.21	12:00:00	5692.4600	5728.0310	5685.4360	5715.9680	13717	0	560
2024.03.21	16:00:00	5715.9690	5720.6070	5664.3010	5684.3930	13671	0	560
2024.03.21	20:00:00	5684.3970	5705.4700	5666.9060	5698.3460	13640	0	560
2024.03.22	00:00:00	5698.3510	5699.1660	5639.6120	5677.4720	13699	0	560
2024.03.22	04:00:00	5677.4810	5704.0360	5677.4810	5703.1470	13687	0	560
2024.03.22	08:00:00	5703.1470	5703.7200	5660.9150	5670.8380	13713	0	560
