<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.02.26	13588.1030	13754.6660	13544.4400	13659.2220	84646	0	1350
2024.02.27	13659.1860	13802.9280	13537.8220	13579.2740	84648	0	1350
2024.02.28	13579.2650	13709.3790	13546.5250	13578.3160	84658	0	1350
2024.02.29	13578.2940	13837.8100	13558.1380	13808.5020	84712	0	1350
2024.03.01	13808.4960	13808.4960	13535.4740	13631.2210	84654	0	1350
2024.03.02	13631.1940	13827.0150	13605.4480	13798.0770	84696	0	1360
2024.03.03	13798.0660	13934.6540	13699.7010	13894.0340	84671	0	1370
2024.03.04	13894.0130	13920.7850	13724.4630	13854.4270	84651	0	1370
2024.03.05	13854.4190	13940.6930	13780.9610	13836.0690	84685	0	1370
2024.03.06	13836.0660	13882.5270	13659.0280	13710.5700	84618	0	1360
2024.03.07	13710.5660	13982.3800	13659.2840	13818.1600	84673	0	1360
2024.03.08	13818.1590	13898.4620	13680.7440	13876.5490	84665	0	1360
2024.03.09	13876.5440	13958.1940	13759.5270	13910.2850	84587	0	1370
2024.03.10	13910.2760	13960.6080	13799.9260	13944.0170	84632	0	1380
2024.03.11	13944.0120	14028.4580	13872.5650	13885.1650	84768	0	1380
2024.03.12	13885.1360	13984.2400	13801.2220	13849.0610	84718	0	1380
2024.03.13	13849.0460	14055.1640	13821.5290	14039.7670	84592	0	1380
2024.03.14	14039.7450	14106.8910	13937.8610	13986.9090	84623	0	1390
2024.03.15	13986.8930	14081.7920	13909.1570	14066.4380	84701	0	1390
2024.03.16	14066.4280	14152.9010	13985.1360	14111.3140	84745	0	1390
2024.03.17	14111.3050	14235.0710	14066.2040	14170.9510	84384	0	1400
2024.03.18	14170.9360	14267.0480	14102.5990	14264.0770	84704	0	1410
2024.03.19	14264.0680	14420.9340	14214.2110	14371.5620	84731	0	1420
2024.03.20	14371.5350	14375.3700	14176.4720	14249.1290	84713	0	1410
2024.03.21	14249.1210	14283.9830	14034.0670	14078.7200	84738	0	1400
2024.03.22	14078.7020	14199.4560	13931.6750	14055.5500	84769	0	1390
2024.03.23	14055.5360	14149.7960	13958.7470	13974.6980	84630	0	1390
2024.03.24	13974.6830	14042.7860	13850.6020	14015.7450	84658	0	1380
2024.03.25	14015.7220	14061.6710	13892.2570	13892.2570	84661	0	1380
2024.03.26	13892.2350	14154.0370	13883.7140	14144.7250	84666	0	1380
2024.03.27	14144.7140	14162.4960	14006.9280	14090.7600	84739	0	1400
2024.03.28	14090.7420	14164.8310	13967.9870	14106.0070	84704	0	1390
2024.03.29	14106.0040	14106.0040	13943.0410	14033.1520	84680	0	1390
2024.03.30	14033.1230	14189.3120	13962.6200	13973.3570	84645	0	1390
2024.03.31	13973.3420	13973.3420	13808.6820	13848.4610	84750	0	1380
2024.04.01	13848.4410	13984.8390	13723.1330	13903.4950	84685	0	1370
2024.04.02	13903.4950	13914.2100	13606.2150	13700.4120	84651	0	1360
2024.04.03	13700.4100	13850.4900	13658.2890	13849.1150	84676	0	1360
2024.04.04	13849.1060	13980.8080	13708.7750	13884.0460	84675	0	1370
2024.04.05	13884.0180	13910.1140	13674.6080	13674.6080	84686	0	1360
2024.04.06	13674.5970	13694.4310	13416.4390	13416.4390	84683	0	1340
2024.04.07	13416.4230	13597.2800	13297.9550	13564.7800	84613	0	1330
2024.04.08	13564.7730	13564.7730	13306.0580	13452.2300	84639	0	1330
2024.04.09	13452.2210	13629.2320	13450.7400	13488.1950	84657	0	1340
2024.04.10	13488.1710	13499.7690	13354.3940	13443.2760	84536	0	1330
2024.04.11	13443.2700	13476.7470	13182.6560	13213.0840	84668	0	1310
2024.04.12	13213.0710	13401.6610	13164.9500	13389.4530	84662	0	1310
2024.04.13	13389.4350	13658.1760	13386.7800	13475.0900	84653	0	1330
2024.04.14	13475.0740	13744.4610	13458.5980	13734.0020	84421	0	1340
2024.04.15	13733.9800	13930.9070	13705.6540	13705.6540	84600	0	1370
2024.04.16	13705.6440	13794.0310	13556.2730	13601.8490	84697	0	1350
2024.04.17	13601.8430	13831.4380	13508.1650	13770.3530	84553	0	1350
2024.04.18	13770.3350	13876.7190	13625.9260	13845.7080	84662	0	1360
2024.04.19	13845.6850	14041.9320	13819.3410	13920.5070	84763	0	1380
2024.04.20	13920.5000	14243.0000	13911.7390	14129.2950	84698	0	1390
2024.04.21	14129.2920	14363.9660	14104.6200	14312.9960	84693	0	1410
2024.04.22	14312.9900	14314.6610	14091.7670	14142.6610	84734	0	1400
2024.04.23	14142.6600	14345.7520	14041.4030	14328.0550	84712	0	1400
2024.04.24	14328.0190	14691.8690	14305.1790	14651.8480	84770	0	1430
2024.04.25	14651.8390	14861.4330	14584.6690	14634.7580	84764	0	1450
2024.04.26	14634.7270	14710.5250	14517.4810	14620.4890	84705	0	1450
2024.04.27	14620.4820	14684.4480	14488.1420	14646.6200	84764	0	1440
2024.04.28	14646.6110	14917.3340	14539.4880	14904.0590	84697	0	1450
2024.04.29	14904.0350	14942.5360	14682.1540	14778.8190	84823	0	1460
2024.04.30	14778.7940	14875.7160	14638.7450	14813.1820	84780	0	1460
2024.05.01	14813.1670	14843.6200	14533.2440	14594.0760	84721	0	1450
2024.05.02	14594.0730	14670.0260	14367.2640	14666.4110	84737	0	1430
2024.05.03	14666.3820	14794.1340	14393.3360	14431.4190	84709	0	1430
2024.05.04	14431.4080	14954.2720	14419.6850	14850.8650	84764	0	1440
2024.05.05	14850.8490	15103.9400	14775.6060	15091.4080	84867	0	1470
2024.05.06	15091.3830	15252.4380	14987.3830	15217.7210	84705	0	1490
2024.05.07	15217.7080	15292.0490	15119.9380	15257.3470	84819	0	1510
2024.05.08	15257.3240	15493.3250	15255.4940	15302.9850	84812	0	1520
2024.05.09	15302.9760	15579.0540	15158.1020	15565.5650	84791	0	1510
2024.05.10	15565.5630	15664.4150	15534.0580	15616.9820	84923	0	1550
2024.05.11	15616.9680	15780.6340	15558.1320	15722.7160	84875	0	1550
2024.05.12	15722.7130	15722.7130	15500.0030	15652.3970	84895	0	1550
2024.05.13	15652.3880	15954.9540	15650.2390	15929.7170	84101	0	1560
2024.05.14	15929.7020	16005.7780	15778.0410	15867.0130	84882	0	1570
2024.05.15	15866.9920	15969.2860	15754.7880	15803.4900	84874	0	1570
