<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.02.10	5852.6770	5978.8070	5838.9880	5976.1980	82371	0	580
2024.02.11	5976.2000	6024.3750	5959.6520	6024.3750	82372	0	590
2024.02.12	6024.3850	6170.0420	5985.4960	6163.1750	82405	0	590
2024.02.13	6163.1890	6338.3360	6138.7170	6338.3360	82486	0	610
2024.02.14	6338.3450	6356.8140	6244.4420	6339.4990	82605	0	620
2024.02.15	6339.5110	6347.1800	6246.2620	6347.1800	82515	0	620
2024.02.16	6347.1810	6360.3520	6179.6670	6219.1010	82600	0	610
2024.02.17	6219.1140	6275.2270	6185.2150	6264.9220	82581	0	610
2024.02.18	6264.9240	6272.8070	6131.9790	6145.4790	82261	0	610
2024.02.19	6145.4850	6178.4410	6117.6520	6135.8860	82485	0	610
2024.02.20	6135.8880	6138.3940	6058.8300	6081.2190	82466	0	600
2024.02.21	6081.2240	6108.8590	5988.0100	5995.4260	82462	0	590
2024.02.22	5995.4360	6062.1290	5973.3470	6007.1350	82510	0	590
2024.02.23	6007.1410	6111.4070	5995.9270	6091.5290	82612	0	590
2024.02.24	6091.5310	6166.5090	6091.5310	6162.3230	82457	0	600
2024.02.25	6162.3260	6189.4770	6120.1520	6173.9140	82425	0	610
2024.02.26	6173.9230	6200.4880	6094.2130	6126.1210	82492	0	600
2024.02.27	6126.1360	6146.5910	6049.7440	6098.7350	82389	0	600
2024.02.28	6098.7400	6104.1480	5945.1520	5965.9630	82394	0	590
2024.02.29	5965.9760	5966.3360	5835.0920	5837.2510	82323	0	580
2024.03.01	5837.2510	5903.7350	5833.3210	5849.9950	82388	0	580
2024.03.02	5849.9970	5895.3920	5823.8680	5845.8630	82288	0	580
2024.03.03	5845.8640	5868.3760	5775.8230	5850.1640	82375	0	570
2024.03.04	5850.1800	5880.0970	5810.9550	5836.5490	82289	0	580
2024.03.05	5836.5520	5846.2500	5754.1920	5841.1570	82344	0	570
2024.03.06	5841.1580	5886.6620	5833.6260	5863.7150	82331	0	580
2024.03.07	5863.7280	5933.8760	5847.0670	5874.7060	82366	0	580
2024.03.08	5874.7060	5975.9460	5863.4280	5894.6660	82398	0	580
2024.03.09	5894.6770	5930.2290	5734.8030	5736.8680	82219	0	570
2024.03.10	5736.8730	5822.6760	5732.3660	5745.3200	82289	0	570
